#lam (nm)	intensity (cgs)
2.00E+02	1.00E+12
2.20E+02	7.00E+12
2.40E+02	8.00E+12
2.60E+02	1.90E+13
2.80E+02	3.40E+13
3.00E+02	8.30E+13
3.20E+02	1.12E+14
3.40E+02	1.34E+14
3.60E+02	1.42E+14
3.70E+02	1.67E+14
3.80E+02	1.58E+14
3.90E+02	1.52E+14
4.00E+02	2.17E+14
4.10E+02	2.50E+14
4.20E+02	2.54E+14
4.30E+02	2.34E+14
4.40E+02	2.71E+14
4.50E+02	2.94E+14
4.60E+02	3.01E+14
4.70E+02	3.01E+14
4.80E+02	2.99E+14
4.90E+02	2.91E+14
5.00E+02	2.83E+14
5.50E+02	2.76E+14
6.00E+02	2.61E+14
6.50E+02	2.34E+14
7.00E+02	2.08E+14
7.50E+02	1.87E+14
8.00E+02	1.68E+14
9.00E+02	1.38E+14
1.00E+03	1.11E+14
1.10E+03	9.00E+13
1.20E+03	7.60E+13
1.40E+03	5.10E+13
1.60E+03	3.70E+13
1.80E+03	2.50E+13
2.00E+03	1.70E+13
2.50E+03	7.60E+12
3.00E+03	3.90E+12
4.00E+03	1.30E+12
